cpp/-O0;cpp/-O1;cpp/-O2;cpp/-O3;cpp/-Ofast;cpp/-Os;java/;php/;cs/;java//no-inline;php//no-inline;cs//no-inlline;java//dce=no;php//dce=no;cs//dce=no;java//no-pattern-matching;php//no-pattern-matching;cs//no-pattern-matching;java//no-opt;php//no-opt;cs//no-opt;Test suite
1.670454545;1.077272727;2.056818182;1.004545455;1;1.284090909;1.286363636;2.470454545;2.172727273;2.234090909;2.545454545;3.645454545;2.302272727;2.334090909;4.902272727;2.493181818;2.363636364;3.631818182;2.234090909;2.422727273;3.559090909;core ts1
1.682692308;1.538461538;1.467948718;2.009615385;1;1.137820513;1.455128205;3.442307692;5.099358974;3.544871795;3.625;2.983974359;7.519230769;3.221153846;2.762820513;4.326923077;3.125;5.067307692;1.525641026;3.618589744;6.980769231;core ts2
1.344632768;1.564971751;1.754237288;1.163841808;1;1.776836158;1.418079096;3.073446328;4.576271186;5.169491525;3.144067797;4.483050847;1.194915254;2.86440678;4.644067797;1.491525424;2.906779661;4.254237288;6.711864407;2.268361582;2.624293785;core ts3
34.41509434;2.267924528;3.139622642;3.498113208;2.19245283;2.154716981;7.124528302;11.69811321;3.4;1.716981132;11.03018868;6.135849057;1.860377358;11.66792453;3.516981132;4.81509434;11.58490566;1;1.701886792;11.59245283;3.558490566;core ts4
1.866834171;1.849246231;1;1.572864322;1.364321608;1.050251256;3.233668342;32.05025126;6.811557789;3.296482412;31.58040201;6.796482412;3.238693467;28.80904523;6.66080402;3.180904523;29.03015075;5.27638191;3.987437186;31.02512563;5.467336683;core ts5
1.298165138;1.892201835;2.236238532;1.28440367;1.424311927;1;4.373853211;142.5321101;3.642201835;2.46559633;143.2270642;28.94954128;2.509174312;143.8417431;4.98853211;5.447247706;143.9334862;30.04816514;1.043577982;143.7775229;28.37614679;core ts6
1.017326733;1.227722772;1.25990099;1.25;1.358910891;2.066831683;1.03960396;2.361386139;3.957920792;1;2.683168317;2.435643564;3.069306931;2.53960396;2.522277228;1.198019802;2.455445545;3.952970297;2.495049505;2.452970297;4.108910891;core ts7
1.422391858;1;2.34605598;1.432569975;2.216284987;1.549618321;2.592875318;2.888040712;2.376590331;2.521628499;2.727735369;4.06870229;1.188295165;2.702290076;5.455470738;2.590330789;2.65394402;3.977099237;1.577608142;2.526717557;2.376590331;core ts8
2.209876543;1.345679012;1.214814815;1.340740741;1.762962963;2.091358025;1.148148148;2.716049383;3.955555556;2.656790123;2.577777778;5.338271605;1;2.886419753;2.47654321;1.269135802;2.733333333;5.35308642;3.138271605;2.661728395;3.948148148;core ts9
1;1.152119701;1.354114713;1.461346633;1.725685786;1.319201995;2.486284289;44.13965087;3.630922693;1.104738155;35.46633416;2.356608479;1.164588529;37.78553616;5.234413965;1.197007481;31.65087282;2.294264339;4.845386534;44.27680798;5.21446384;core ts10
1.302380952;1.4;1.388095238;1.176190476;1.030952381;1.526190476;1.207142857;56.63333333;17.02619048;2.585714286;56.55714286;17.39047619;1;55.30714286;17.13571429;4.547619048;56.5952381;16.33095238;5.702380952;55.94047619;17.00238095;core ts11
3.245791246;1.878787879;2.444444444;1.404040404;2.265993266;1;3.457912458;98.88552189;26.04040404;1.505050505;98.6969697;27.28619529;1.414141414;97.72390572;27.41414141;1.626262626;97.45454545;27.18855219;1.602693603;95.61616162;27.9023569;core ts12
2.102717102;1.856686201;2.254555141;2.094725626;2.286521044;2.152370804;17.63239212;4.772296217;1.090143847;14.03228556;4.768673415;1.034203516;14.25732552;4.780500799;1;14.03399041;4.771976558;1.101545019;14.42770378;4.76920618;1.089291422;core ts13
2.74852071;1;1.204142012;2.355029586;1.405325444;2.221893491;1.485207101;3.319526627;2.822485207;1.355029586;3.281065089;2.795857988;3.038461538;3.183431953;4.479289941;1.269230769;3.26035503;4.426035503;2.902366864;3.150887574;2.792899408;core ts14
1.618556701;3.079896907;1.461340206;2.105670103;1;1.018041237;1.072164948;2.81185567;6.783505155;1.018041237;2.762886598;5.520618557;1.167525773;2.613402062;5.469072165;4.768041237;2.75257732;4.077319588;1.067010309;2.693298969;5.548969072;core ts15
1.508888889;1.055555556;1.371111111;1.791111111;1.746666667;1.108888889;3.002222222;2.466666667;2.124444444;1.004444444;2.317777778;2.133333333;1.033333333;2.222222222;3.626666667;1;2.508888889;2.26;1.051111111;2.357777778;2.164444444;core ts16
1.232835821;1.632835821;1.534328358;2.101492537;2.450746269;1.405970149;1.453731343;3.43880597;4.868656716;1.402985075;2.928358209;4.767164179;3.665671642;3.170149254;4.91641791;1;3.340298507;2.805970149;7.092537313;2.901492537;4.776119403;core ts17
1;1.9751693;1.230248307;2.047404063;1.586907449;1.957110609;1.054176072;2.46275395;6.085778781;1.169300226;2.446952596;6.0248307;6.993227991;2.496613995;4.851015801;2.237020316;2.426636569;5.884875847;1.015801354;2.376975169;5.952595937;core ts18
1;2.695;1.3925;1.7575;1.555;2.1425;2.455;2.7875;2.31;1.14;2.7325;3.5675;2.4825;2.7675;2.27;2.9725;2.465;2.355;1.2475;2.625;3.83;core ts19
1;1.624671916;2.238845144;1.585301837;1.45144357;2.146981627;1.199475066;93.04986877;5.729658793;2.682414698;95.62992126;2.454068241;2.595800525;96.52230971;2.501312336;2.141732283;94.90813648;4.041994751;5.031496063;95.82414698;3.855643045;core ts20
1.324840764;2.964968153;2.238853503;1.175159236;1;1.506369427;1.442675159;3.589171975;8.652866242;5.748407643;3.627388535;5.035031847;6.22611465;3.363057325;5.044585987;3.222929936;3.5;5.108280255;3.152866242;3.414012739;3.26433121;core ts21
1.201117318;2.198324022;1.491620112;1.983240223;1.396648045;1;2.782122905;60.56703911;2.533519553;1.399441341;52.44692737;4.511173184;2.768156425;58.65642458;4.12849162;1.268156425;48.14804469;2.497206704;3.5;54.91899441;4.430167598;core ts22
1.212962963;1.122685185;1;1.138888889;1.990740741;1.175925926;5.585648148;13.02546296;2.127314815;1.321759259;9.224537037;2.298611111;1.009259259;12.2662037;2.141203704;2.354166667;13.10416667;2.25;1.141203704;9.381944444;2.319444444;core ts23
1.692874693;1;1.056511057;2.292383292;1.909090909;1.302211302;1.235872236;43.93857494;2.28009828;1.085995086;44.83046683;2.390663391;2.464373464;50.31449631;2.272727273;2.457002457;31.33660934;3.982800983;3.520884521;46.03194103;2.226044226;core ts24
1;1.381625442;1.530035336;1.950530035;2.64664311;1.067137809;1.809187279;3.71024735;3.282685512;1.699646643;3.865724382;3.282685512;3.522968198;3.784452297;3.180212014;4.653710247;3.505300353;5.67844523;1.727915194;3.961130742;3.222614841;core ts25
1.25;1.1;1.121428571;1.423809524;1.442857143;1.138095238;1.20952381;2.235714286;2.333333333;4.378571429;2.257142857;2.254761905;2.302380952;2.552380952;3.85;1;2.60952381;3.807142857;2.328571429;2.5;5.035714286;core ts26
