cpp/-O0;cpp/-O1;cpp/-O2;cpp/-O3;cpp/-Ofast;cpp/-Os;java/;php/;cs/;java//no-inline;php//no-inline;cs//no-inlline;java//dce=no;php//dce=no;cs//dce=no;java//no-pattern-matching;php//no-pattern-matching;cs//no-pattern-matching;java//no-opt;php//no-opt;cs//no-opt
1.106546855;1.035943517;1.051347882;1;1.03465982;1.074454429;1.395378691;1.571245186;1.21309371;1.391527599;1.654685494;1.142490372;1.436456996;1.61745828;1.174582798;1.446726573;1.558408216;1.15661104;1.498074454;1.618741977;1.161745828
1.055696203;1.017721519;1.050632911;1.008860759;1;1.011392405;1.255696203;1.101265823;1.093670886;1.220253165;1.058227848;1.113924051;1.267088608;1.046835443;1.124050633;1.244303797;1.037974684;1.132911392;1.224050633;1.116455696;1.179746835
1.053283767;1;1.043370508;1.039653036;1.027261462;1.016109046;1.359355638;1.555142503;1.215613383;1.359355638;1.560099133;1.172242875;1.413878563;1.56133829;1.131350682;1.41511772;1.565055762;1.163568773;1.416356877;1.519206939;1.175960347
1.963463066;1.108816521;1;1.042096902;1.015885624;1.085782367;1.27720413;93.45432883;1.639396346;1.300238284;96.37807784;1.652899126;1.30420969;96.16123908;1.654487689;1.264495631;95.87450357;1.721207307;1.285146942;95.92136616;1.640190627
1.309815951;1;1.057259714;1.020449898;1.020449898;1.036809816;1.531697342;7.349693252;1.446830266;1.506134969;7.487730061;1.467280164;1.531697342;7.448875256;1.479550102;1.538854806;7.449897751;1.510224949;1.49795501;7.347648262;1.462167689
1.426900585;1.008354219;1.028404344;1.028404344;1;1.040100251;1.654135338;15.3550543;1.748538012;1.648287385;15.25814536;1.744360902;1.634085213;15.29741019;1.763575606;1.580618212;15.29657477;1.745196324;1.679197995;15.32163743;1.751044277
1.063275434;1.065756824;1.008684864;1.008684864;1.003722084;1;1.248138958;1.578163772;1.101736973;1.277915633;1.542183623;1.143920596;1.286600496;1.564516129;1.08808933;1.333746898;1.589330025;1.136476427;1.308933002;1.527295285;1.105459057
1.085492228;1.049222798;1;1.055699482;1.073834197;1.081606218;1.470207254;1.509067358;1.233160622;1.479274611;1.484455959;1.17746114;1.461139896;1.502590674;1.21373057;1.474093264;1.573834197;1.239637306;1.53626943;1.507772021;1.154145078
1.099408284;1;1.047337278;1.036686391;1.055621302;1.036686391;1.532544379;2.017751479;1.390532544;1.525443787;2.107692308;1.320710059;1.540828402;2.111242604;1.294674556;1.526627219;2.035502959;1.363313609;1.517159763;2.018934911;1.336094675
1.219395866;1.089825119;1.077106518;1.103338633;1.064387917;1.09618442;1.019872814;2.359300477;1.073131955;1.033386328;2.390302067;1.022257552;1.034976153;2.412559618;1.041335453;1;2.36963434;1.047694754;1.009538951;2.348171701;1.06518283
